Date,Open,High,Low,Close,Volume
2024-07-09 00:00:00,51588.4765625,53641.796875,50180.12890625,52355.875,36716135201
2024-07-10 00:00:00,52355.41015625,53868.984375,51992.19140625,53638.984375,25751413876
2024-07-11 00:00:00,53661.78515625,54865.390625,52794.48828125,53304.8671875,24163639404
2024-07-12 00:00:00,53293.234375,54470.62109375,52703.203125,52735.64453125,26400327985
2024-07-13 00:00:00,52732.22265625,53675.34765625,52064.09375,53014.19921875,23444399780
2024-07-14 00:00:00,53022.6875,54747.56640625,52919.8671875,54239.234375,15640366317
2024-07-15 00:00:00,54233.09375,56315.9609375,54233.09375,55840.45703125,20414718898
2024-07-16 00:00:00,55865.87109375,59523.62109375,55767.796875,59523.62109375,34954813353
2024-07-17 00:00:00,59444.953125,59950.3828125,57324.9609375,59710.68359375,38173719410
2024-07-18 00:00:00,59705.80859375,60625.67578125,58468.1796875,58606.8203125,29729053556
2024-07-19 00:00:00,58593.97265625,59616.01171875,58057.2578125,58689.359375,24989148041
2024-07-20 00:00:00,58687.76171875,61991.3828125,58147.609375,61243.5234375,33971537474
2024-07-21 00:00:00,61243.3125,62076.59375,60866.62890625,61666.09765625,17471952936
2024-07-22 00:00:00,61667.26171875,62803.11328125,60475.1640625,62533.41015625,24454023981
2024-07-23 00:00:00,62531.9921875,62859.69921875,61202.59375,62066.9140625,39166809666
2024-07-24 00:00:00,62066.50390625,62232.25390625,60349.62890625,60764.15234375,32816997090
2024-07-25 00:00:00,60764.32421875,61788.48828125,60107.02734375,60313.63671875,25345240793
2024-07-26 00:00:00,60317.08984375,60950.95703125,58540.125,60615.48828125,35309008904
2024-07-27 00:00:00,60610.5,62734.0078125,60576.8359375,62462.1875,28041948352
2024-07-28 00:00:00,62461.9609375,63835.25,61357.86328125,62377.15234375,31910863580
2024-07-29 00:00:00,62372.84375,62826.50390625,61707.9609375,62894.3671875,16625876181
2024-07-30 00:00:00,62897.3046875,64706.28125,61485.9609375,61759.64453125,37692361533
2024-07-31 00:00:00,61758.84765625,61893.39453125,60429.5703125,61208.53125,29013963677
2024-08-01 00:00:00,61208.76953125,61618.92578125,59605.734375,59700.8203125,28910966881
2024-08-02 00:00:00,59706.91015625,60792.93359375,57700.47265625,60592.80859375,37988354620
2024-08-03 00:00:00,60589.09765625,60758.83203125,56027.55859375,56238.328125,39431231452
2024-08-04 00:00:00,56238.09375,56930.70703125,54812.953125,55585.69921875,29087204906
2024-08-05 00:00:00,55582.03125,55936.4453125,52407.671875,53266.53515625,29108317988
2024-08-06 00:00:00,53260.4140625,53407.984375,45038.37890625,49304.3515625,99529351463
2024-08-07 00:00:00,49304.25,52206.23046875,49287.74609375,51285.46484375,45122317379
2024-08-08 00:00:00,51291.24609375,52864.19921875,50001.52734375,50356.453125,38103157719
2024-08-09 00:00:00,50358.8046875,57400.89453125,50099.9453125,56537.16015625,41501237507
2024-08-10 00:00:00,56553.71875,56575.390625,54538.68359375,55731.78515625,30598921216
2024-08-11 00:00:00,55732.80859375,56266.765625,55189.34765625,55783.09375,14411993673
2024-08-12 00:00:00,55782.25,56545.390625,53458.43359375,53807.890625,20856015121
2024-08-13 00:00:00,53807.8125,55526.203125,52791.109375,54274.421875,33905114288
2024-08-14 00:00:00,54275.96875,56103.04296875,53564.69921875,55119.671875,27580675923
2024-08-15 00:00:00,55121.0234375,55959.73828125,53082.84375,53342.25390625,27209714386
2024-08-16 00:00:00,53338.61328125,54466.453125,51189.15625,52458.48828125,32519571132
2024-08-17 00:00:00,52458.6484375,54308.3046875,52027.34375,53387.2109375,26606479153
2024-08-18 00:00:00,53386.69140625,54112.91796875,53315.3515625,53917.390625,12318980617
2024-08-19 00:00:00,53907.5625,54627.8515625,53013.1953125,53048.171875,16091723369
2024-08-20 00:00:00,53045.22265625,53776.28515625,52430.4609375,53667.2578125,23373723141
2024-08-21 00:00:00,53667.2578125,55436.89453125,52739.36328125,53032.375,28409666438
2024-08-22 00:00:00,53034.3515625,55455.33203125,52875.51171875,54840.1953125,29341679412
2024-08-23 00:00:00,54834.03125,55146.19921875,53681.62109375,54319.14453125,24851917265
2024-08-24 00:00:00,54318.28125,57974.99609375,54310.2734375,57213.828125,37964859067
2024-08-25 00:00:00,57222.3203125,57583.58984375,56839.05078125,57338.5390625,19146427674
2024-08-26 00:00:00,57336.19140625,58089.57421875,57029.88671875,57494.30859375,16826131344
2024-08-27 00:00:00,57502.06640625,57628.96875,56290.140625,56321.13671875,24794333199
2024-08-28 00:00:00,56320.28515625,56603.8125,51962.1875,53237.3359375,34985578636
2024-08-29 00:00:00,53240.73046875,54091.1875,52101.203125,53060.8203125,36216894051
2024-08-30 00:00:00,53060.67578125,55226.28125,53060.2734375,53598.01171875,29083150675
2024-08-31 00:00:00,53598.390625,54040.52734375,52274.1640625,53448.0234375,29194847697
2024-09-01 00:00:00,53446.22265625,53731.10546875,53130.9765625,53315.74609375,11214201177
2024-09-02 00:00:00,53315.65625,53399.08203125,51800.2109375,51903.12890625,22266274744
2024-09-03 00:00:00,51904.46484375,53677.03125,51684.05078125,53412.14453125,24429275142
2024-09-04 00:00:00,53406.46484375,54037.33984375,51976.953125,51982.25390625,24136933123
2024-09-05 00:00:00,51981.64453125,52798.265625,50391.5625,52321.11328125,32155085940
2024-09-06 00:00:00,52321.2578125,52616.2734375,50134.96875,50542.5859375,27926228591
2024-09-07 00:00:00,50542.31640625,51322.484375,47447.12890625,48645.58984375,44509439089
2024-09-08 00:00:00,48645.890625,49447.5546875,48457.41796875,48817.7578125,17187742401
2024-09-09 00:00:00,48825.19140625,49876.234375,48379.59375,49466.16015625,16477684792
2024-09-10 00:00:00,49475.46875,52586.828125,49309.921875,51668.25,31369187847
2024-09-11 00:00:00,51668.76171875,52625.76171875,51110.40234375,52311.94140625,26186164220
2024-09-12 00:00:00,52313.37109375,52624.3984375,50492.48828125,52081.3046875,33649403632
2024-09-13 00:00:00,52081.3046875,53060.16796875,52069.43359375,52466.37109375,30540651366
2024-09-14 00:00:00,52469.359375,54699.484375,52003.33984375,54630.28515625,29303759863
2024-09-15 00:00:00,54628.31640625,54707.328125,53704.35546875,54135.28125,14821341085
2024-09-16 00:00:00,54131.3203125,54483.9921875,52944.65625,53378.125,16343638904
2024-09-17 00:00:00,53380.28125,53393.8984375,51691.578125,52287.5390625,28782355555
2024-09-18 00:00:00,52287.5390625,55144.87109375,51809.76953125,54212.37109375,34226777263
2024-09-19 00:00:00,54212.78515625,55482.984375,53269.66015625,55470.0390625,36881876814
2024-09-20 00:00:00,55471.3671875,57247.20703125,55652.5,56401.0078125,38272700040
2024-09-21 00:00:00,56401.875,57419.0390625,55883.73828125,56546.0234375,31477054203
2024-09-22 00:00:00,56538.296875,56884.96875,56184.28515625,56752.01171875,12898809369
2024-09-23 00:00:00,56753.76953125,57330.30078125,55939.3984375,57039.23828125,18087449312
2024-09-24 00:00:00,57034.2109375,57982.625,56127.72265625,56998.02734375,28260853488
2024-09-25 00:00:00,56995.359375,57821.80078125,56482.05859375,57458.1171875,26751908408
2024-09-26 00:00:00,57458.671875,57915.5234375,56549.12109375,56733.80078125,22532796971
2024-09-27 00:00:00,56729.671875,58895.39453125,56273.87109375,58317.265625,32990278655
2024-09-28 00:00:00,58316.9453125,59435.66796875,58057.37109375,58891.5234375,28696965977
2024-09-29 00:00:00,58892.88671875,59307.64453125,58593.77734375,58994.921875,13648950558
2024-09-30 00:00:00,58996.0390625,59177.38671875,58586.59765625,58764.40625,13240139908
2024-10-01 00:00:00,58763.828125,58764.1796875,56454.72265625,56865.96484375,33325134809
2024-10-02 00:00:00,56871.4453125,57646.9296875,54388.77734375,54983.45703125,45388816903
