goods_id,title,price,date,timestamp
43091,M9 刺刀（★） | 多普勒 (崭新出厂),¥ 14250,2025-07-18,2025-07-19 11:38:06
43091,M9 刺刀（★） | 多普勒 (崭新出厂),¥ 16600,2025-07-18,2025-07-19 11:38:06
43091,M9 刺刀（★） | 多普勒 (崭新出厂),¥ 16500,2025-07-18,2025-07-19 11:38:06
43091,M9 刺刀（★） | 多普勒 (崭新出厂),¥ 108887.5,2025-07-18,2025-07-19 11:38:06
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4550,2025-07-19,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4600,2025-07-19,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4560,2025-07-18,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4700,2025-07-17,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 5500,2025-07-17,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4820,2025-07-16,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4829,2025-07-16,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 6385,2025-07-15,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4830,2025-07-15,2025-07-19 11:38:20
42409,刺刀（★） | 渐变大理石 (崭新出厂),¥ 4660,2025-07-15,2025-07-19 11:38:20
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1760,2025-07-19,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 2420,2025-07-18,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1790,2025-07-15,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1898,2025-07-13,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1875,2025-07-13,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1727,2025-07-13,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1720.5,2025-07-13,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 3999,2025-07-12,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1720,2025-07-12,2025-07-19 11:38:32
42708,折叠刀（★） | 表面淬火 (久经沙场),¥ 1810,2025-07-11,2025-07-19 11:38:32
43017,爪子刀（★） | 渐变大理石 (崭新出厂),¥ 24666,2025-07-18,2025-07-19 11:38:39
43017,爪子刀（★） | 渐变大理石 (崭新出厂),¥ 16000,2025-07-18,2025-07-19 11:38:39
43017,爪子刀（★） | 渐变大理石 (崭新出厂),¥ 15749.5,2025-07-18,2025-07-19 11:38:39
